request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_28,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1100 minimum protected.
request_29,1457.66,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51524 request. Although ZAR 1457.66 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2894443.04,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 15 November 2024, then pay IDR 18164000 in full. Paying sooner would put the IDR 16588900 minimum at risk."
request_32,14175.2,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Wait until 15 April 2025, then pay ZAR 40018 in full. Paying sooner would put the ZAR 35700 minimum at risk."
request_33,37787.88,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Wait until 15 February 2026, then pay INR 118000 in full. Paying sooner would put the INR 102100 minimum at risk."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,21248.24,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 15 January 2026, then pay INR 212000 in full. Paying sooner would put the INR 106400 minimum at risk."
request_36,615.13,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 15 September 2026, then pay USD 3954 in full. Paying sooner would put the USD 2400 minimum at risk."
request_37,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17056200 minimum protected.
request_38,182.82,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Wait until 15 October 2025, then pay EUR 971.30 in full. Paying sooner would put the EUR 400 minimum at risk."
request_39,61334.41,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 15 June 2026, then pay INR 208600 in full. Paying sooner would put the INR 213400 minimum at risk."
request_40,332.46,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1290.30 request. Although EUR 332.46 is available today, the full amount cannot be completed safely within 90 days."
request_41,8781753.1,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 15 January 2026, then pay IDR 38760000 in full. Paying sooner would put the IDR 25366600 minimum at risk."
request_42,31169.77,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 52100 request. Although INR 31169.77 is available today, the full amount cannot be completed safely within 90 days."
request_43,8443757.75,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 15 November 2024, then pay IDR 43339000 in full. Paying sooner would put the IDR 21398000 minimum at risk."
request_44,29256.06,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95800 request. Although INR 29256.06 is available today, the full amount cannot be completed safely within 90 days."
request_45,3614476.62,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 15 September 2026, then pay IDR 21983000 in full. Paying sooner would put the IDR 11149800 minimum at risk."
request_46,42021.85,affordable_with_plan,partial_payment,2024-12-03:42021.85|2024-12-15:7428.15,2024-12-15,none,Pay INR 42021.85 today and the remaining INR 7428.15 on 15 December 2024. This completes the full request and keeps the INR 84000 minimum protected.
request_47,24403613.86,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38114000 request. Although IDR 24403613.86 is available today, the full amount cannot be completed safely within 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,11974188.05,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 34333000 request. Although IDR 11974188.05 is available today, the full amount cannot be completed safely within 90 days."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This leaves at least INR 99700 available over the next 90 days.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,18701.97,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 15 June 2024, then pay INR 28870 in full. Paying sooner would put the INR 41500 minimum at risk."
request_53,477.89,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2100 available."
request_54,2064.79,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121528 request. Although ZAR 2064.79 is available today, the full amount cannot be completed safely within 90 days."
request_55,116607.42,not_affordable,not_recommended,none,2026-08-15,none,"Do not proceed with the INR 218600 request. Although INR 116607.42 is available today, the full amount cannot be completed safely within 90 days."
request_56,623.64,affordable_with_plan,partial_payment,2025-02-03:623.64|2025-02-15:257.92,2025-02-15,none,Pay USD 623.64 today and the remaining USD 257.92 on 15 February 2025. This completes the full request and keeps the USD 2100 minimum protected.
request_57,14573.73,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 61446 in full. Paying sooner would put the ZAR 42700 minimum at risk."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This leaves at least IDR 14433900 available over the next 90 days.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 7 May 2025. This leaves at least INR 132600 available."
request_60,134.24,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Wait until 15 January 2026, then pay USD 199.89 in full. Paying sooner would put the USD 400 minimum at risk."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This leaves at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,47792.59,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343900 request. Although INR 47792.59 is available today, the full amount cannot be completed safely within 90 days."
request_64,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 August 2024. None of the available options keeps the INR 36100 minimum protected.
request_65,5782.77,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54340 request. Although ZAR 5782.77 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,292.95,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 15 November 2024, then pay USD 2094 in full. Paying sooner would put the USD 1200 minimum at risk."
request_68,1419.14,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,49475.42,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 15 February 2025, then pay INR 243900 in full. Paying sooner would put the INR 115000 minimum at risk."
request_71,414991.16,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21451000 request. Although IDR 414991.16 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This leaves at least ZAR 12200 available over the next 90 days.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,13759.27,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 28270 request. Although ZAR 13759.27 is available today, the full amount cannot be completed safely within 90 days."
request_76,339.49,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4455.60 request. Although USD 339.49 is available today, the full amount cannot be completed safely within 90 days."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This leaves at least INR 82200 available over the next 90 days.
request_78,49350.15,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,stop:event_7224,"Apply spending changes (stop event_7224), then pay INR 50200 today. This leaves at least INR 55200 available."
request_79,326.82,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2151.60 request. Although EUR 326.82 is available today, the full amount cannot be completed safely within 90 days."
request_80,103618.32,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217500 request. Although INR 103618.32 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 February 2025. None of the available options keeps the USD 1100 minimum protected.
request_83,6702.37,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156200 request. Although INR 6702.37 is available today, the full amount cannot be completed safely within 90 days."
request_84,29848.22,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 15 June 2026, then pay INR 95400 in full. Paying sooner would put the INR 91300 minimum at risk."
request_85,374061.81,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19304000 request. Although IDR 374061.81 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,28828.11,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487900 request. Although INR 28828.11 is available today, the full amount cannot be completed safely within 90 days."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. This leaves at least ZAR 25800 available."
request_89,9859943.87,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the IDR 13756000 request. Although IDR 9859943.87 is available today, the full amount cannot be completed safely within 90 days."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,399.27,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 1927.20 in full. Paying sooner would put the EUR 2100 minimum at risk."
request_92,31657.94,affordable_later,wait,2025-02-24:34034,2025-02-24,none,"Wait until 24 February 2025, then pay ZAR 34034 in full. Paying sooner would put the ZAR 28100 minimum at risk."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
